/opt/conda/lib/python3.7/site-packages/hydra/core/utils.py:207: UserWarning: 
Using config_path to specify the config name is deprecated, specify the config name via config_name
See https://hydra.cc/docs/next/upgrades/0.11_to_1.0/config_path_changes
  warnings.warn(category=UserWarning, message=msg)
2021-06-11 13:24:33.698408: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Successfully opened dynamic library libcudart.so.11.0
Epoch:1, Train loss:0.5272, Time:1.3978989124298096s
Epoch:67, Train loss:0.2153, Time:0.3599698543548584s
Epoch:68, Train loss:0.2146, Time:0.3622424602508545s
Epoch:69, Train loss:0.2143, Time:0.3699533939361572s
Epoch:70, Train loss:0.2145, Time:0.36311864852905273s
Epoch:71, Train loss:0.2145, Time:0.3686814308166504s
Epoch:72, Train loss:0.2139, Time:0.3614215850830078s
Epoch:73, Train loss:0.2137, Time:0.372025728225708s
Epoch:74, Train loss:0.2138, Time:0.36594057083129883s
Epoch:75, Train loss:0.2135, Time:0.35987114906311035s
Epoch:76, Train loss:0.2135, Time:0.3609645366668701s
Epoch:77, Train loss:0.2133, Time:0.35677194595336914s
Epoch:78, Train loss:0.2131, Time:0.36571669578552246s
Epoch:79, Train loss:0.2126, Time:0.36773109436035156s
Epoch:80, Train loss:0.2138, Time:0.380507230758667s
Epoch:81, Train loss:0.2131, Time:0.3820915222167969s
Epoch:82, Train loss:0.2124, Time:0.39074230194091797s
Epoch:83, Train loss:0.2136, Time:0.3646876811981201s
Epoch:84, Train loss:0.2124, Time:0.36020565032958984s
Epoch:85, Train loss:0.2121, Time:0.37023162841796875s
Epoch:86, Train loss:0.2119, Time:0.3662755489349365s
Epoch:87, Train loss:0.2124, Time:0.36429524421691895s
Epoch:88, Train loss:0.2121, Time:0.363250732421875s
Epoch:89, Train loss:0.2121, Time:0.3583698272705078s
Epoch:90, Train loss:0.2117, Time:0.3713207244873047s
Epoch:91, Train loss:0.2114, Time:0.36867260932922363s
Epoch:92, Train loss:0.2115, Time:0.37306904792785645s
Epoch:93, Train loss:0.2114, Time:0.3576829433441162s
Epoch:94, Train loss:0.2117, Time:0.3646552562713623s
Epoch:95, Train loss:0.2111, Time:0.36246776580810547s
Epoch:96, Train loss:0.2111, Time:0.3698091506958008s
Epoch:97, Train loss:0.2107, Time:0.3667879104614258s
Epoch:98, Train loss:0.2106, Time:0.37398815155029297s
Epoch:99, Train loss:0.2107, Time:0.3657522201538086s
Epoch:100, Train loss:0.2110, Time:0.3638017177581787s
Accuracy/Test  0.9062265566391597
